PGDP_ID;Provider_ID;Provider;Genus;Species;Origin;Sex
PD_0220;08GNM1210916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;M
PD_0221;09GNF1210916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;F
PD_0222;10GNF1210916;Knauf/Chuma/Roos;Papio;anubis;Gombe, Tanzania;F
PD_0223;02UNM1220616;Knauf/Chuma/Roos;Papio;cynocephalus;Udzungwa, Tanzania;M
PD_0224;23UNF1120317;Knauf/Chuma/Roos;Papio;cynocephalus;Udzungwa, Tanzania;F
PD_0225;24UNF1150317;Knauf/Chuma/Roos;Papio;cynocephalus;Udzungwa, Tanzania;F
PD_0226;25UNF1150317;Knauf/Chuma/Roos;Papio;cynocephalus;Udzungwa, Tanzania;F
PD_0227;27UNM1160317;Knauf/Chuma/Roos;Papio;cynocephalus;Udzungwa, Tanzania;M
PD_0228;01MNM1300916;Knauf/Chuma/Roos;Papio;cynocephalus;Mahale, Tanzania;M
PD_0229;02MNM1300916;Knauf/Chuma/Roos;Papio;cynocephalus;Mahale, Tanzania;M
PD_0230;04MNM1300916;Knauf/Chuma/Roos;Papio;cynocephalus;Mahale, Tanzania;M
PD_0231;09MNM1011016;Knauf/Chuma/Roos;Papio;cynocephalus;Mahale, Tanzania;M
PD_0232;14MNF1041016;Knauf/Chuma/Roos;Papio;cynocephalus;Mahale, Tanzania;F
PD_0233;05KNM1121016;Knauf/Chuma/Roos;Papio;cynocephalus;Katavi, Tanzania;M
PD_0234;10KNM1131016;Knauf/Chuma/Roos;Papio;cynocephalus;Katavi, Tanzania;M
PD_0235;01SGM1270217;Knauf/Chuma/Roos;Papio;cynocephalus;Selous, Tanzania;M
PD_0236;04SGM2030317;Knauf/Chuma/Roos;Papio;cynocephalus;Selous, Tanzania;M
PD_0237;07SGF1050317;Knauf/Chuma/Roos;Papio;cynocephalus;Selous, Tanzania;F
PD_0238;19LMF8280815;Knauf/Chuma/Roos;Papio;anubis;Lake Manyara, Tanzania;F
